Algorithm,Features_Used,Number_of_Clusters,Silhouette_Score,Calinski_Harabasz_Score,Davies_Bouldin_Score,Status
K-Means_PCA,PCA (7 components),7,0.21358178081605447,1313.1156614902397,1.7653151708715225,Primary
K-Means_Scaled,Scaled (11 features),7,0.20881241753910423,1258.0090959024074,1.8057001556250485,Comparison
Hierarchical_PCA,PCA (7 components),7,0.1881189082861566,1196.9636310311118,1.9349944895744342,Primary
Hierarchical_Scaled,Scaled (11 features),7,0.19238525071795282,1192.5484002527608,1.930474943663753,Comparison
DBSCAN_PCA,PCA (7 components),72,0.2658106804080119,N/A,N/A,Primary
DBSCAN_Scaled,Scaled (11 features),86,0.2566481307036009,N/A,N/A,Comparison
