Primary_Cluster,Africa,Asia,Europe,Latin America,Middle East,North America,Oceania
0,17.11322385479689,12.359550561797752,16.508210890233364,14.779602420051857,11.495246326707,14.606741573033707,13.13742437337943
1,13.493333333333332,14.906666666666665,13.013333333333332,12.453333333333333,12.826666666666666,15.973333333333334,17.333333333333336
2,10.72768192048012,14.028507126781694,15.678919729932483,13.203300825206302,15.828957239309826,11.552888222055515,18.97974493623406
3,13.994910941475828,15.097540288379982,14.927905004240882,13.061916878710772,16.793893129770993,13.061916878710772,13.061916878710772
4,10.256410256410255,19.65811965811966,9.401709401709402,15.384615384615385,19.65811965811966,10.256410256410255,15.384615384615385
5,13.274336283185843,15.929203539823009,15.929203539823009,17.699115044247787,15.04424778761062,11.504424778761061,10.619469026548673
6,14.652711703139868,14.652711703139868,14.93815413891532,11.512844909609896,14.652711703139868,17.982873453853472,11.607992388201712
