Primary_Cluster,Consumer Goods,Energy,Finance,Healthcare,Manufacturing,Retail,Technology,Transportation,Utilities
0,0.08643042350907519,99.91356957649093,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,33.44,0.8533333333333334,0.0,0.0,34.32,0.0,0.0,0.0,31.386666666666667
2,0.15003750937734434,0.0,0.0,99.84996249062266,0.0,0.0,0.0,0.0,0.0
3,1.102629346904156,0.0,0.0,0.0,0.0,98.89737065309583,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
5,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.570884871550904,0.0,0.0,0.0,0.0,0.0,99.4291151284491,0.0,0.0
